,0
121,"안녕하세요~~
블로그놀러왔다가 구성과 내용이 좋아서
댓글남기고 갑니다^^"
122,포스팅잘보고 갑니다^^즐거운 저녁보내세요^^
123,어머 마론님 너무 오랜만에 왓잖아요 캬하하하여전히 너무 귀여운 미니어처들 가득가득 이예용열심히 구경해야지 작고 ㄱ ㅣ여운거 너무 좋아용 !!!
124,카페 투어하고 싶어지는 외관이에요~~시리즈 쪼로록 다 세워두면 진짜 멋지겠어요♡
125,앗 저는 생일 미니빔을 사본적 있는데 토이스토리 미니빔도 너무 귀엽네요🥰역시 토이스토리는 다 귀여운가봐요 :)
126,귀엽게 생겼네요..
127,감사합니다.
128,^^ 원목가구에 디스플레이용으로 정말 괜찮겠어요 ^^..잘보고 갑니다..혀니와 짱미님 ^^..새해 복 많이 받으시고 즐거운 일만 가득하시길 ^^
129,감사합니다...새해 복 많이 받으세요..^^
130,"죄송한데,제가 pc로 다시한번 확인해보고,살의사가 있으면 연락드릴게요~~"
131,네~~알겠습니다~~
132,미니어처 하우스 빵 베이커리 소품들이 짱귀네요~~어떻게 완성될지 궁금쓰 하네요(?)시원한 오후시간 되세요~~
133,하우스 빵 베이커리 미니어처 넘 예쁘네요 저주넘 좋아해요 저두 구매 하고 싶은데 방법 알 수 있을까요^^
134,안녕하세요~저는 인터넷으로 검색하다가 구입했는데 미니어처 달콤한빵집 혹은 스위트베리타임이라고 검색하면나오는것 같아요~
135,어머 ㅠㅠ 빵하고 디저트들좀 봐요...세상 너무 귀엽다며 ㅋㅋㅋ귀여워서 웃음이 진짜 그냥 날 것 같아요다음 미니어처도 기대하고 있을게요 크크 +_+ 시원한 밤되세요!!
136,아기자기 한것이 귀욤네요 만드는데 정성도 들어가겠어요
137,빵 미니어처  완전 좋은데요~~~사진 찍을 소품으로도 좋겠어요♡♡
138,https://m.blog.naver.com/msn0324/222606571721인증합니다!고맙습니다 ^^
139,괜찮으시다면 댓글 공개 전환 부탁드려요~다른 분들 참고할 사항이 많네요!우려와 달리 가장 먼저 풀셋 인증이라니 깔끔합니다!👍🏻
140,덕분이에요^^
141,뜨시는 거 구경하면서 대리만족해야겠네요~
142,인증합니다🤟https://m.blog.naver.com/deresa729/222605551112 https://m.blog.naver.com/deresa729/222611380225 https://m.blog.naver.com/deresa729/222612085344 https://m.blog.naver.com/deresa729/222613583136 https://m.blog.naver.com/deresa729/222612106337
143,"무늬 확장 고급 스킬과 깔끔한 뜨개 솜씨!양말은 왜 어려울까?를 생각해 보면서 세트 구성으로 코디까지 잘해주셔서 즐감했습니다.제게 책떼기란 한정된 기간 동안 함께 마감하는 즐거움과 동기부여의 의미가 큽니다. 솔직히 시도도 안 하는 분과, 시작도 전에 그만두신 분과 혼자 해내신 분과의 실력 차이는 결국 벌어지게 되어 있는 법이죠^^그런 것을 좋아하는 극적인 인간이라서..ㅎ여튼 즐겨 주셔서 감사합니다."
144,양말은...그림도안도 익숙하지 않은데다가 뒷꿈치 그림부분의 이해 부족으로👉👈😅😅얼마전 마들렌 양말부분을 랩앤턴으로 떠봤는데..서술도안 이어서 그나마 편하게 떴어요.결국은 비슷한 원리일텐데요...
145,https://m.blog.naver.com/shk8344/222615441331인증합니다.
146,다들 앓는 소리하셔도 뜨개 단톡도 있고~결국 이리 잘 해내시는 것을요!
147,https://m.blog.naver.com/sheen0623/222616928715인증합니다.고맙습니다.
148,https://m.blog.naver.com/ssonhj73/222619307410인증합니다~
149,https://m.blog.naver.com/utena14/222620065837인증합니다. 감사합니다~~^0^
150,세상에 너무 귀여워요
151,감사합니다^^
152,넘 귀엽네요   시간이 허락하면 배워보고 싶어요
153,감사해요 취미생활로 도전해보세요^^
154,초등3학년 저희 아이도 배울수 있을까요?? 만들기 좋아하고 차분하고 말도 잘 듣는 편이예요~
155,버블토리 공방님 쓰신 글 잘 보고갑니다 ◕‿◕✿
156,"게시글 정독하고 갑니다 ,, ^^
오늘도 좋은 하루 보내세요 ^0^"
157,"버블토리 공방님 유익한 포스팅이 많아서 
눈팅 하고 갈께요 *^o^*"
158,직접만드셨다니 대단하십니다~~
159,감사해요^^
160,좋은 글과 사진들이 참 많네요. 자주 소통해요!
161,좋은주말 연휴에 포스팅 보면서 가을 단풍처럼 여유있게 머물다가 갑니다.
162,잘보고갑니다
163,1/6스케일인가요?고생하셨다구 써있지만..보람 있으실거 같아요 너무 예쁘거든요 ㅠㅠㅠㅠㅠㅠ
164,헑... 너무 예뻐요!! 장미 200송이라뉘...ㅠㅠㅠㅠ 선생님 손 괜찮으신거죵??
165,좋은 글 잘 보고 갑니다 어제보다 오늘 더 행복하세요!
166,공감가는 글이네요 ㅎㅎ ( ᵅั ᴈ ᵅั;)
167,미니어처 주방에 우유랑빵 놓아두니 귀엽고 실바니안 인형이랑찰떡콩떡 이예요~~💕
168,마론인형님네는 다양한 미니어처 하우스가 있어서이것저것 원하시는대로 믹스매치 해도 좋을 것 같아요+_+귀여운거 한가득...!진짜 방이랑 주방이 분리된듯 합쳐있는것도 매력있는데요!?!?
169,잘 보고 갑니다~! 좋은 포스팅 감사해요~
170,"좋은 정보 감사 합니다.
오늘 하루 즐겁게 보내세요 ^^*"
171,와우 세분 축하드립니다~~!
172,와ㅜㅜ로또된적이없어서그렁가...흑..넘부럽슴다.ㅠㅠ미니어쳐라니ㅜ♡♡♡ 축하드려요♡♡
173,축하드립니다^^
174,축하드립니다~~~😍😍
175,진짜 진짜 축하 드려요~~~~~
176,우와~대박~진짜 로또맞앗네요~감사합니다~소중하게 잘 간직할께요~^^
177,어머~~~진짜 산타선물 이네요~3분 축하드려요~~나도 줄 슬껄...!!!!!
178,축하드려요~~^^
179,축하드려요~^^
180,축하드려요:)
181,너무너무 귀여운 재봉당첨 감사합니다~~^^다른분들도 함께 축하해요
182,축하드립니다 ~~ 완전 부러워요ㅎㅎ
183,축하드려요 완전 부럽습니다 ~~~~❤️
184,축하드립니다~정말 부럽네요^^
185,축하드립니다
186,축하드립니다~
187,멋진 크리스마스선물이네요 축하드려요
188,축하드립니다 ~
189,축하드려요~~~~처음보는 추첨 방식이네요 ㅎㅎㅎㅎㅎ
190,와아와아~~~~축하드려요
191,추카 추카 드려요~
192,축하드려요 ㅎㅎㅎ
193,축하드려요.^^
194,축하드려요 ^^
195,축하드립니다
196,너무 예뻐요 !! 축하드려요 ^^
197,미니어처 완전 귀엽네요당첨되신 분들 축하드려요~
198,저도 이 책이 이써욤~~ㅋ함뜨 신청합니다 ~♡
199,인증 확인했습니다~ 환영합니다!🤗
200,응원합니다~~~책사고싶은데 없네요
201,제 거래처에도 책이 품절이네요 ㅠ
202,책 판매처 본문에 추가했어요. 해외배송이지만 소장 가치 있는 책이라 추천합니다.
203,와 없네요..슬프게도 없네용... 책이 읍서어어엉 ㅠㅠ 이쁜옷 많네유 ~
204,알아봤는데 거래처에도 책이 품절이구만요~ㅠ예쁜옷 많은데 안타깝네요!
205,에고 저땜시 알아봐주시고 고맙쯥니다❤️ 소장님 옷보면 대리만족 할라요 😍
206,^^ 나중에라도 책 구하면 말씀드릴게요~예쁘게 떠보겠습니당!
207,옙!  만드시고 완성품은 저희집 주소로 보내주시면 됩니다
208,ㅋㅋㅋ 육일돌 있어요? 끼똥이님네 아이들한텐 안 맞을텐데~~~ㅎㅎ
209,저희집 아이돌로아? 모모 있어용 !그것도 육일돌일까용 ?
210,헉! 진짜 있다니!!!
211,없는게 없는 끼똥맘 ! 그아이  옷한벌 없어용 ㅠㅠ 디폴옷이 다에용 ~  소장님만 믿숩니다
212,ㅎㅎㅎ 일단 함 만들어 보고요~ 대바늘 오랜만이라 자신 없는데 잘 나오면 선물하죠 뭐^^
213,오메 행복합니당 ❤️  전  멀하쥬 ㅋㅋㅋ헷 ❤️❤️❤️
214,끼똥이맘님이 훨씬 잘 뜨시니 이거 큰일입니다요~😨안 하셔도 되요. ㅎ 암 생각 마셔용
215,흐흐흐 ~ 우리 소장님  좋은밤 되셔용 ❤️
216,끼똥이맘님도 따순 밤 보내시길요~~
217,신청합니다!고맙습니다 ^^너무 쒼나요~~
218,인증 확인 완료요~환영합니다! 🤗
219,이쁜옷이 많이 보이네요 즐거운 함뜨가 되시길 응원할께요~
220,이 책 예쁜 옷 많아요. 나중에라도 구해서 떠보시길요~응원 감사합니다. 😊
221,책 판매처 본문에 추가했어요. 해외배송이지만 소장 가치 있는 책이라 추천합니다.
222,응원합니다^^
223,감사합니다~
224,"신청합니다, 감사합니다~"
225,슈가메이님 올만이에요^^인증 확인 완료! 환영합니다~🤗공지는 담주에 올라가요~
226,와..  뜨게못해서 슬프네요ㅠㅠ 멋진 뜨게의상이나오겠네요  응원합니다😘😘
227,응원 감사합니다^^멋진 옷 많이 나올듯요~
228,대바늘 뜨개 제대로 배워보고 싶네요.일단 구경하는 걸로 만족해야죠;ㅅ;
229,육일돌 사이즈인가봐요?전 레이나만 있는데 욕심나네요.책이라도 사서 보고싶어요.뜨린이 겨우 탈출했는데 매력있는 뜨개더라구요.작품 올리실때마다 가슴뛰겠어요 히잉~~~ㅠㅠ
230,"뜨개 손 놓은지 오래라서 어려울거 같지만,실도 사 놨겠다~소장님 믿고 함뜨 도전해 보렵니다! 파이팅!!"
231,좋아요.~ 인증 확인 완료!🤗
232,살땐 열심히 떠봐야지하고 샀는데 잊고 있었네요 이번 기회에 ~하나라도 떠봐야겠습니다^^
233,넵 한세트!^^인증 확인 완료~ 공지는 담주에 올리니 확인해 주세요!
234,어제밤부터 열심히  책찾았어요.함뜨   신청합니다.
235,잘 찾으셨어요^^  인증 확인 완료~담주 공지 확인하세요~
236,고맙습니다.
237,안녕하세요^0^ 너무 예쁜 책인데 낯설고 어려워보여서사진 감상만 했었는데 함뜨 소식에 가슴이 두근두근합니다.잘 할 수 있을지 걱정반 기대반이지만 그래도 책에 있는 옷을 뜰 수 있다는 기회가 생겼음에 감사하며 함뜨 신청해봅니다!!
238,인증 확인 완료입니다~환영합니다! 공지는 담주중에 공개하니 확인해 주세요^^
239,고맙습니다^^ 열심히 해 보겠습니당~~
240,함뜨 신청해봅니다. 사놓은지는 오래되었지만 레이나에 밀려 뒷전이었네요. ^^이기회에 떠볼수 있다면 좋겠어요.
241,인증 확인했습니다~환영합니다^^
242,신청해봅니다~
243,인증 확인 완료! 환영합니다^^
244,신청합니다^^
245,네~ 인증 확인했구요~오비츠11에도 똑같이 남겨주세요~
246,넵!감사합니다^^
247,조심스럽게 신청합니다.
248,인증 확인 완료~ 환영합니다^^
249,감사합니다~~
250,저두!  신청합니다.
251,다른 분들 처럼 손글씨 인증 부탁드려요~
252,다시 인증남깁니다.
253,확인 완료! 환영합니다^^
254,살짝 신청해 봅니다
255,다른 분들 인증한 거 보시고 다시 부탁드려요~
256,책이 눈에 계속 아른거려서 함뜨는 안해도 사야겠어요!!ㅋㅋㅋㅋㅋ오늘 하나 떠보니 할만하기도 하고!!♡♡♡♡흐흐
257,빨리 사고 함뜨 조인해요! ㅋㅋ
258,오 늦게 함류도 가능합니깡 ㅎㅎ
259,네~ 고롬요~ 단야님 쿠폰도 필요 없으시잖아요 ㅋㅋ궈궈! ^^
260,책 왔어요 인증!!!
261,오우!
262,어머.제취향저격입니다.^^
263,어머나 어머나..이런 전시가 있군요 애들 방학이라 한번 가봐야겠어요~ 심시티 너무 충격...저런 센스는 진짜 타고 나야하나봐요 ㅠ
264,"한번 나들이 가고싶네요. 단, 혼자서만 집중해서 보면 더 재미있을듯 해요. 기발함에 미소가 지어집니닷"
265,새로운 시선으로 볼 수 있는 능력도 자꾸 노력하면 키워지겠죠? 내가 안되면 애라도...재미있는 전시회 구경 곁눈질로 잘 하고 가네요. 좋은 하루 되세요
266,여기 가보고싶었는데 보니까 더 가고싶네요!ㅎㅎㅎ
267,공감 꾸욱 누르고갑니다 ^^ 사진과 글 너무 잘봤습니다 시간나면 제 블로그도 들러주세요~>_<
268,공감 꾸욱 누르고갑니다 ^^ 사진과 글 너무 잘봤습니다 시간나면 제 블로그도 들러주세요~>_<
269,사진과 글이 너무 재밌네요 ㅎㅎ 많이배우고갑니다! 공감 꾸욱>_<
270,기발한 아이디어가 가득한 전시군요! 각도에 따라 작품을 보는 시선이 달라진다는게 와닿네요!
271,미니어처라이프 저도 보고싶네요^^ 저는 지방에 있어 보기 힘든 전시인데 님의 블로그를 통해 감상할 수 있어 행복하네요. 고마워요^^
272,와 좋은 전시네요 ^^ 저도 전시좀 보러다니고 싶은데.. 글통해서 이렇게 경험하게 되니 좋네요^^
273,너무 귀여워요! 가까웠다면 아이랑 함께 바로 가봤을 거 같은 좋은 곳이네요!!
274,"우와!! 진짜 너무 귀염뽀짝하네요ㅜㅜ친구한테 미니어쳐 라이프 얘기를 듣고, 너무 제 취향이라 가고 싶었지만 사정상 못 갔어요.근데 지영님께서 전시회 분위기가 잘 느껴지게 후기를 올려주시니까, 대리만족할 수 있네요ㅎㅎ"
275,"잘보고 갑니닷 ^^
맵스토리지영님 행복한 하루보내세요!"
276,니들펠트 관심가는 취미인데 덕분에 잘 보고 갑니다
277,감사해요*^^
278,저도 요즘 펠트에 관심이 많이 가서요. 잘 보고 갑니다~~
279,네 재미있는작업이예요^^
